"bike","route","length_meter", "length_birdway","duration_sec", "duration_time"
"46","1","857.2","321.25695440589453","177.4","2 min 57 sec"
"46","2","689.8","333.0847395468337","129.9","2 min 10 sec"
"47","1","514.6","347.98746291239087","117.7","1 min 58 sec"
"47","2","514","385.9889524727955","94.4","1 min 34 sec"
"48","1","552.6","331.6262927300718","123.6","2 min 4 sec"
"48","2","520.9","341.04269675815175","101.9","1 min 42 sec"
"49","1","483.4","377.92765087653186","118.9","1 min 59 sec"
"49","2","472.5","393.23670879594346","85.3","1 min 25 sec"
"50","1","568.5","400.0581947978699","93","1 min 33 sec"
"50","2","383.4","314.3265794840182","62.7","1 min 3 sec"
"51","1","622.4","338.3614876306894","123","2 min 3 sec"
"51","2","894.3","402.25135308396585","158.9","2 min 39 sec"
"52","1","440.5","346.231785173138","86.7","1 min 27 sec"
"52","2","483","375.3419200565676","87.6","1 min 28 sec"
"53","1","561.4","367.0418520966259","110.9","1 min 51 sec"
"53","2","619.7","390.053938057131","123.5","2 min 4 sec"
"54","1","769.9","357.48711406241455","235.4","3 min 55 sec"
"54","2","583.9","362.4614964542606","178","2 min 58 sec"
"55","1","997.5","364.19471819586323","188.1","3 min 8 sec"
"55","2","415.2","345.774587104491","75.9","1 min 16 sec"
"56","1","813","347.8242905360696","160.2","2 min 40 sec"
"56","2","588.9","336.2506072794225","118.1","1 min 58 sec"
"57","1","560.1","320.83772030627364","159.9","2 min 40 sec"
"57","2","844.8","396.4173241618947","187.5","3 min 8 sec"
"58","1","874.9","375.262452505667","143.2","2 min 23 sec"
"58","2","1080.9","320.94050259998977","180.3","3 min 0 sec"
"59","1","1288.7","338.06357984215146","232.7","3 min 53 sec"
"59","2","582.3","346.2958451127863","102.2","1 min 42 sec"
"60","1","471","352.2969758800729","97","1 min 37 sec"
"60","2","535.8","378.73995625725115","113","1 min 53 sec"
"61","1","446.6","352.64592552953724","73.1","1 min 13 sec"
"61","2","1440.4","378.24060615365124","235.7","3 min 56 sec"
"62","1","496.1","354.12819623831496","81.2","1 min 21 sec"
